Day,Tourists,Total_Litter,Trail_Quality
1,11496.714153011233,229.93428306022452,100.0
2,10861.735698828816,240.22814228259858,98.91382643011711
3,11647.688538100692,256.97658499027375,97.74905757630704
4,12523.029856408026,276.1582556271878,96.49675459066624
5,10765.846625276665,242.93275806825204,95.42016992813858
6,10765.86304305082,239.61053666784164,94.3435836238335
7,12579.212815507391,275.545309976932,93.08566234228276
8,11767.434729152908,262.9032255807515,100.0
9,10530.525614065047,236.90083483937588,98.9469474385935
10,11542.560043585965,254.5412843556569,97.7926914342349
11,10536.582307187538,236.18577457931633,96.73903320351614
12,10534.270246429744,234.3039823865265,95.68560617887317
13,11241.962271566033,248.26964366997345,94.56140995171657
14,9086.719755342201,206.56135947384132,93.65273797618235
15,9275.082167486968,206.1577792971234,100.0
16,10437.712470759026,229.3700273448926,98.95622875292409
17,9987.168879665576,222.68038032780078,97.95751186495754
18,11314.247332595274,248.55298468468573,96.82608713169802
19,10091.97592447879,226.69481695804438,95.81688953925014
20,9587.696298664709,214.42340766909865,94.85811990938367
21,12465.648768921554,270.7553161453411,93.61155503249152
22,10774.223699513464,242.56000560480334,100.0
23,11067.528204687924,245.6065646542388,98.8932471795312
24,9575.251813786543,216.06569274115463,97.93572199815254
25,10455.617275474817,230.71891478361158,96.89016027060507
26,11110.922589709866,245.2903432725584,95.77906801163408
27,9849.006422577697,221.5091627788097,94.79416736937631
28,11375.698018345673,249.66487664479428,93.65659756754174
29,10399.361310081194,232.95371386610304,100.0
30,10708.306250206722,237.46149639074474,98.92916937497932
31,10398.293387770604,231.71201739448634,97.88934003620227
32,12852.278184508938,280.21676542962723,96.60411221775138
33,10986.502775262066,247.75173204820385,95.50546194022517
34,9942.289071044099,223.62095462570232,94.51123303312076
35,11822.544912103189,258.81299370463375,93.32897854191044
36,9779.156350028978,221.46442637104292,100.0
37,11208.863595004756,246.32371453719952,98.87911364049953
38,9040.329876120224,205.43896897612444,97.9750806528875
39,9671.813951101569,213.98017591964367,97.00789925777734
40,11196.861235869124,245.335242309347,95.88821313419042
41,11738.466579995411,259.3028558308429,94.71436647619088
42,11171.36828118997,249.35765120688347,93.59722964807187
43,10884.35171761176,242.62279947292336,100.0
44,10698.896304410711,238.24020603550662,98.93011036955893
45,9521.478009632572,214.25358079620196,97.97796256859567
46,10280.155791605292,227.028473911726,96.94994698943515
47,10539.361229040212,233.4900719719767,95.89601086653113
48,12057.122226218915,264.4914517215757,94.69029864390923
49,11343.618289568461,253.32151096352663,93.55593681495239
50,9236.959844637266,210.07134798909806,100.0
51,11324.083969394795,247.48881418680548,98.86759160306052
52,10614.917719583684,237.04723581035432,97.80609983110215
53,10323.077999694042,230.16628357491618,96.77379203113274
54,11611.676288840868,255.250154134309,95.61262440224866
55,12030.999522495951,266.14500586335,94.40952444999905
56,11931.280119116198,265.2401029686589,93.21639643808743
57,10160.782476777362,229.73965983241305,100.0
58,10690.787624148785,236.78971846621698,98.93092123758512
59,11331.263431403564,250.30424047469296,97.79779489444476
60,11975.54512712236,264.5413265899165,96.60024038173253
61,10520.82576215471,236.8706479020857,95.54815780551706
62,10814.341023336183,239.97388525693214,94.46672370318345
63,9893.665025993972,221.8706890455726,93.47735720058405
64,9803.79337591933,218.26293642294377,100.0
65,11812.525822394198,258.07681009017824,98.81874741776058
66,12356.240028570823,272.93248158043434,97.5831234149035
67,10927.989878419667,245.8530457264369,96.49032442706152
68,12003.532897892024,264.655962530484,95.28997113727232
69,11361.636025047634,253.6983167540011,94.15380753476755
70,10354.880245394876,232.4674365832975,93.11831951022806
71,11361.395605508415,250.474655768498,100.0
72,12538.03656646597,275.8081969061691,98.7461963433534
73,10964.173960890048,246.86429890841782,97.6497789472644
74,12564.643655814007,275.97930300712187,96.393314581683
75,8380.254895910255,195.20302821891732,95.55528909209198
76,11821.902504375224,255.95835290939613,94.37309884165445
77,11087.047068238171,247.33677665570303,93.26439413483064
78,10700.992649534133,238.75353065625313,100.0
79,11091.760776535502,245.71056859633518,98.89082392234646
80,9012.431085399106,204.8196785676157,97.98958081380654
81,10780.328112162488,236.0885301000112,96.9115480025903
82,11357.112571511747,250.75110444023585,95.77583674543912
83,12477.894044741515,274.632991338854,94.52804734096497
84,10481.729781726353,237.09789476841252,93.47987436279234
85,10191.506397106812,227.53991741897744,100.0
86,10498.242956415463,232.718850870207,98.95017570435846
87,11915.402117702075,261.57992744106195,97.75863549258825
88,11328.751109659685,252.73301493729969,96.62576038162229
89,10470.239796232961,234.67809741838892,95.578736401999
90,11513.267433113357,253.73315840410578,94.42740965868767
91,11097.07754934804,247.31486682737113,93.31770190375286
92,11968.64499053289,264.10438649339494,100.0
93,10297.946906122648,232.3693767717923,98.97020530938774
94,10672.337853402232,236.68369474522387,97.90297152404752
95,10607.891846867842,235.82620641187896,96.84218233936073
96,9536.485051867881,214.31232167854546,95.88853383417394
97,11296.120277064576,247.35363770914591,94.75892180646748
98,11261.055272179889,249.95646921451225,93.6328162792495
99,11005.11345664246,245.09791605430019,100.0
100,10765.412866624853,239.81804893792696,98.92345871333751
101,9584.629257949586,215.67439005278447,97.96499578754255
102,10579.354677234642,233.154532549971,96.90706031981908
103,10657.28548347323,236.46116292446186,95.84133177147176
104,10197.722730778381,227.60057090801365,94.82155949839392
105,10838.714288333991,239.53434285748108,93.73768806956052
106,11404.050856814538,252.03445142203873,100.0
107,12886.18590121053,282.92716316641463,98.71138140987895
108,11174.57781283184,251.78427257327803,97.59392362859577
109,11257.550390722765,250.32943507178288,96.4681685895235
110,10925.554084233832,243.54402519185487,95.37561318110012
111,9081.22878470096,205.97897821320453,94.46749030263003
112,10973.486124550784,240.0676203123362,93.37014169017495
113,11060.230209941026,245.21136623005395,100.0
114,13463.242112485286,293.785978872711,98.65367578875147
115,10807.639035218877,245.53137859164872,97.57291188522959
116,11301.547342333612,250.58408470583709,96.44275715099623
117,10965.288230294756,244.3641730764789,95.34622832796676
118,9831.321962380469,221.0628565552572,94.36309613172871
119,12142.82281451502,264.9627419458261,93.14881385027721
120,11751.933032686775,261.53493484831824,100.0
121,11791.031947043048,261.9741324256929,98.82089680529569
122,10090.612545205262,228.00966414667437,97.81183555077516
123,12402.794310936099,270.8568526333893,96.57155611968155
124,9598.14893720772,219.04866400749324,95.61174122596077
125,11586.85709380027,253.6420082767545,94.45305551658075
126,13190.455625809978,289.1733133438752,93.13400995399975
127,10009.463674869312,229.1066048317739,100.0
128,10433.702270397229,231.58470589112176,98.95662977296028
129,11099.65136508764,245.1514978908649,97.84666463645152
130,10496.524345883801,234.44563670676234,96.79701220186314
131,9449.336568933868,212.4312950493536,95.85207854496976
132,11068.562974806027,242.61438900105577,94.74522224748915
133,9937.696286273895,223.01536462558352,93.75145261886176
134,11473.59243063518,251.773385075262,100.0
135,10080.575765766196,226.78885382285011,98.99194242342338
136,12549.934405017539,273.6775734826356,97.73694898292163
137,10216.746707663762,231.70269150153854,96.71527431215526
138,10677.938483794325,236.72903882604032,95.64748046377582
139,11813.51721736967,259.94324822999715,94.46612874203885
140,9769.135683566044,221.3770384943207,93.48921517368224
141,11227.459934604129,246.68690254151443,100.0
142,12307.142754282428,270.8115453398,98.76928572457176
143,9392.516765438773,214.93148984275535,97.83003404802788
144,11184.633858532305,245.18582615492141,96.71157066217465
145,11259.882794248424,249.71623850046035,95.5855823827498
146,11781.82287177731,260.6080812855921,94.40740009557207
147,9763.049289121918,221.32179391099748,93.43109516665989
148,9679.543386915724,215.72304712941423,100.0
149,11521.941565616897,252.01113602527948,98.84780584343831
150,11296.984673233186,251.14080706719142,97.71810737611499
151,11250.492850345876,250.12393771363668,96.5930580910804
152,11346.448209496975,251.9413579613033,95.45841327013069
153,10319.975278421509,231.59364136456043,94.42641574228854
154,11232.253697161004,247.80443807967595,93.30319037257244
155,11293.072473298682,250.64189327394115,100.0
156,10285.648581973632,230.77716096686663,98.97143514180263
157,12865.774511144757,280.3932063195816,97.68485769068815
158,11473.832920911787,257.5159790501939,96.53747439859697
159,9808.696502797351,221.9255279609663,95.55660474831724
160,11656.553608633829,255.32362496877295,94.39094938745386
161,10025.31832977268,226.03872909233087,93.38841755447659
162,11787.084603742453,258.3455649840821,100.0
163,12158.595579007404,269.0064680785563,98.78414044209926
164,10179.31768164829,230.48700044082125,97.76620867393443
165,11963.376129244321,262.3162226289687,96.56987106100999
166,11412.780926936499,254.48724080162674,95.42859296831634
167,11822.06015999449,261.88992728005223,94.24638695231688
168,12896.792982653948,284.1248523810841,92.95670765405148
169,10754.61188399713,243.5047229180509,100.0
170,10246.26383564251,229.27574900465515,98.97537361643575
171,10110.485570374476,225.13728630795504,97.9643250593983
172,10184.189715034561,226.19752293148667,96.94590608789485
173,10922.898290585896,241.07771810486656,95.85361625883627
174,11341.151974816645,250.93081130681958,94.7195010613546
175,11276.69079933002,250.62689711728217,93.5918319814216
176,11827.183249036023,261.6063546924488,100.0
177,11013.001891877908,246.4206733068031,98.8986998108122
178,12453.534077157317,273.7127488738265,97.65334640309648
179,10735.343166762044,242.0781382226237,96.57981208642028
180,13720.169166589618,298.6111971540545,95.20779516976131
181,11625.667347765006,262.3744666707057,94.04522843498481
182,10142.842443583717,229.09429553874497,93.03094419062643
183,9929.107501938888,221.49157959265222,100.0
184,11482.472415243185,251.79860626412892,98.85175275847568
185,10776.537214674148,240.710604919896,97.77409903700827
186,11714.000494092092,258.3510703738316,96.60269898759906
187,11473.237624573545,255.29985952885409,95.4553752251417
188,10927.171087343128,244.0734076997478,94.36265811640737
189,10153.206281931594,227.4714664086066,93.34733748821421
190,9485.152775314134,212.45020214714327,100.0
191,10553.48504793298,232.31472117337398,98.9446514952067
192,11856.398794323472,260.35944800380685,97.75901161577436
193,11214.093744130205,250.31781968298492,96.63760224136134
194,9754.261221288012,220.11700639405876,95.66217611923254
195,11173.180925851182,245.47531915642958,94.54485802664742
196,11385.317379728836,252.25387951021958,93.40632628867453
197,10116.142563798867,227.54823922699916,100.0
198,11153.725105945528,245.82932604161033,98.88462748940545
199,11058.208718446,245.74710697308092,97.77880661756085
200,9857.029702169377,221.7153047406955,96.79310364734391
