Day,Total_Litter,Trail_Quality
0,10.993428306022464,100.0
1,59.61078529431062,99.90276528602342
2,116.08767067531754,99.7898115152614
3,181.3179692393978,99.65935091813324
4,228.97643549216446,99.5640339856277
5,276.63506592267265,99.46871672476668
6,342.42719407774655,99.33713246845653
7,80.02030827385511,99.22178377387347
8,125.32556441450558,99.13117326159217
9,180.75116485036523,99.02032206072045
10,226.1169879222406,98.9295904145767
11,271.45969038653806,98.8389050096481
12,323.8793131021984,98.73406576421678
13,354.74651065562045,98.67233136910994
14,77.499466466098,98.6068297257602
15,121.87659117368827,98.51807547634503
16,161.74827997034402,98.43833209875172
17,214.89075329629674,98.3320471520998
18,255.81051254108462,98.25020763361023
19,291.6874755277317,98.17845370763693
20,356.34396321694726,98.04914073225851
21,80.81724004241636,97.95365625826824
22,131.4925220892956,97.85230569417448
23,167.24504022716104,97.78080065789875
24,211.8012129819092,97.69168831238926
25,262.91043887900787,97.58946986059506
26,301.40050310478483,97.51248973214351
27,355.15748328824156,97.40497577177659
28,79.83021927781068,97.31698854557497
29,126.91328177987792,97.22282242057084
30,170.89621565758395,100.0
31,239.41899750267334,99.86295443630982
32,289.284025255294,99.76322438080457
33,328.706915965735,99.68437859938369
34,386.9323650867669,99.56792770114163
35,84.9447857174113,99.49234457414104
36,137.03342166745887,99.38816730224094
37,167.43672042866112,99.32736070471854
38,204.1548599396768,99.25392442569651
39,256.12347229836803,99.14998720097913
40,313.50813809832215,99.03521786937922
41,365.2218209102218,98.93179050375542
42,82.81306761726786,98.83410346940319
43,129.80203066137497,98.74012554331497
44,165.01681075770068,98.66969598312232
45,207.81836867375358,98.58409286729022
46,253.2119809641557,98.49330564270942
47,313.7832032263449,98.37216319818504
48,367.2193861220295,98.26529083239366
49,79.91779691368042,98.20055163550091
50,133.15863660762835,98.09406995611302
51,179.3078138034652,98.00177160172134
52,222.5385938004056,97.91531004172747
53,278.65535668881427,97.80307651595065
54,338.96535191377376,97.68245652550073
55,398.27815310493577,97.5638309231184
56,87.97719557454185,97.48061527358286
57,134.88507181602972,97.38679952109987
58,188.19770613006537,97.28017425247181
59,247.95315740128896,97.16066334992937
60,293.1614150228361,100.0
61,341.3048252561979,99.90371317953327
62,380.2414755161376,99.82583987901339
63,83.65588185506616,99.749764011495
64,141.78114007900814,99.63351349504713
65,205.34354036471638,99.5063886944757
66,254.62343914891304,99.4078288969073
67,314.6587681278333,99.28775823894946
68,368.27512837830966,99.18052551844852
69,411.82393083225844,99.09342791354062
70,93.08757737746849,98.98620000143046
71,158.46794304212818,98.85543927010114
72,208.10968265102866,98.75615579088334
73,273.75611920916873,98.62486291776706
74,297.5586681682713,98.57725781984885
75,355.77769321202356,98.46081976976134
76,406.6481638944053,98.35907882839658
77,90.7316180779493,98.26505897540589
78,141.64922584330432,98.16322375987518
79,171.77353669729538,98.1029751381672
80,219.57681781892026,98.00736857592395
